Iteration	logLikelihood	logPrior	sigma	e76	e81	aYFP	aCFP	KGR_76	KGS_76	KGR_81	KGS_81	KR6	KS6	KR12	KS12	nR	nS	aR33	aS175	dR	dYFP	dCFP	autoCFP	autoYFP	aL	aT	nL	nT	dL	dT	iA	iI	yb0_exrep	cb0_exrep
30	-186493.003441066	-1543.95481663005	41.5607790458696	0.0210738127430832	0.00689145770428726	31378.2922716896	25355.3838369471	8.51267995829559	0.000110092346089538	0.0152172243281613	11.8105771462474	0.000157253398786545	4.38473985010989E-06	1.00343688186293E-08	0.0262920730911779	0.774583317822436	1.04575716676715	9.33051166417516	2.96292924414573	9.99421222554573	0.14694680708075	0.463722556476031	269.826305694679	8.26803676734312	56.9894019879545	44.5412929678205	0.648033390102111	2.20011729021707	0.502253182179864	2.08539424318415	0.117517811375443	106.528789860815	92.7621314043967	1971.88316288923
31	-186469.228503701	-1565.1016825171	41.5716099793183	0.0206581157419192	0.00690051383909583	31378.2922716896	25355.3838369471	8.58658361090927	0.000108873242182771	0.0152172243281613	11.8105771462474	0.000157035621415189	4.93245956791473E-06	1.00343688186293E-08	0.0262920730911779	0.777707580760315	1.0465791260251	9.33051166417516	2.96292924414573	9.99421222554573	0.14694680708075	0.462547521409568	269.060169167427	8.25768594497763	56.9894019879545	44.5412929678205	0.648033390102111	2.20577440194324	0.495756973481201	2.08148768144285	0.117703881586889	106.680854721023	92.4790467799625	1985.78482269378
32	-186471.332359904	-1562.86774284578	41.5716099793183	0.0209339909970526	0.00681013237449859	31378.2922716896	25355.3838369471	8.56792987268081	0.000124488041209781	0.0155977199781606	11.8272759993983	0.000157263117615926	5.41100883151157E-06	1.00385716516392E-08	0.0259822003863075	0.778787074032447	1.0465791260251	9.39010736650235	2.95803052771162	9.99421222554573	0.14694680708075	0.462802565260353	269.060169167427	8.01008083429905	55.9645233868198	44.6700633189752	0.648033390102111	2.19605935069303	0.49975465904952	2.11826234285809	0.115621711112076	106.207906081153	93.1790780887527	1971.89194482215
33	-186475.075127834	-1555.41903225287	41.5266242456	0.0207755944309425	0.00674273818692854	31378.2922716896	25425.6634736157	8.56792987268081	0.000142030800104675	0.0154856958723329	11.8243793264811	0.000157263117615926	4.95702698801478E-06	1.01948766517246E-08	0.0261214028020681	0.779503058578654	1.04203358434048	9.40615416166235	2.95643671265846	9.99421222554573	0.14694680708075	0.462975151414002	268.088230773542	7.98123759731699	55.9645233868198	44.6700633189752	0.650486306456226	2.19594273693402	0.505754923035697	2.12390509729452	0.116387160283038	106.323271395009	97.3231643490238	1964.585191
34	-186479.761579711	-1553.40046709271	41.5191976622038	0.0208613560437602	0.00680714899859476	31401.7701490167	25425.6634736157	8.63150478622393	0.000126683148138185	0.0155419722716002	11.8243793264811	0.000157263117615926	4.82139031672805E-06	1.01278626807501E-08	0.0259421173802342	0.779503058578654	1.03928017356764	9.36239302104858	2.95488027232343	9.99421222554573	0.14694680708075	0.462298066949979	266.693823492867	7.92877537995861	55.9645233868198	44.6700633189752	0.653083887626928	2.20072965882041	0.501468473679206	2.12439265844092	0.11739800651156	107.026379934737	99.5200044700962	1948.20619745854
35	-186463.340535546	-1572.95697036307	41.2860834113555	0.0210768975825521	0.00686704247178434	31192.9567941774	25213.8801720538	8.65932205611418	0.00016627470040397	0.0154507633650537	11.876275463883	0.000157263117615926	5.03356862418537E-06	1.00109178220745E-08	0.0257922402610124	0.778380415349644	1.03568167751334	9.36239302104858	2.95488027232343	9.98268048840489	0.148189015286189	0.460953454535979	268.602819570016	7.75032119302172	55.0866770132779	44.6700633189752	0.652230995681058	2.18171580093286	0.501468473679206	2.11805607342516	0.117258063258322	106.50865163681	99.5200044700962	1975.35791615319
36	-186472.686427269	-1561.81143058306	41.9072481158121	0.0210768975825521	0.00690131395883907	31192.9567941774	25027.8881379498	8.68877545564523	0.000292800429533317	0.0155433643227469	11.8658185677935	0.000158289287757568	4.36529845795682E-06	1.00109178220745E-08	0.0258608133212835	0.777822544691053	1.03773249653584	9.36239302104858	2.95837029986372	9.99764410572335	0.146278706786145	0.460953454535979	268.066140006465	7.87338396838889	55.0546596035125	44.73081795648	0.654770130457588	2.19187535642457	0.495800341743115	2.09557536383188	0.118916359871546	106.937257093305	96.8885464320977	1979.30936401011
37	-186475.132054685	-1558.2564347663	41.6986803614366	0.0212165868756949	0.00675682665998014	31182.5415167183	25027.8881379498	8.63598553612149	0.000119750724497398	0.0157616793891058	11.8658185677935	0.000158289287757568	4.75359522606042E-06	1.00990392239217E-08	0.0265357508073964	0.777707678408184	1.04929477371299	9.40856237555658	2.956225217202	9.99816512368437	0.146278706786145	0.460953454535979	268.066140006465	7.9380808720877	55.5654142327206	44.7666819818608	0.659898916200697	2.18897796228274	0.511492702434275	2.09053550740238	0.119951304548468	107.217425576265	96.8885464320977	1952.2634555218
38	-186463.287320159	-1570.22977800584	41.5111183331196	0.0210939688911851	0.00662021597262653	31311.7988049587	24950.7263786794	8.54764890042579	0.000323459128954091	0.016420749555782	11.8658185677935	0.000158289287757568	4.75495494575113E-06	1.01149804766804E-08	0.0265357508073964	0.775302934374389	1.04929477371299	9.40856237555658	2.956225217202	9.99816512368437	0.146278706786145	0.457825461010679	268.066140006465	7.9380808720877	55.5654142327206	44.7569673566273	0.65423486629723	2.19910386928847	0.508711169477218	2.12147487907635	0.119819892253804	108.520156501201	94.8925548550512	1958.52202235621
39	-186475.580184722	-1558.21785185545	41.3885081450564	0.0211897434311978	0.006574232955373	31311.7988049587	25146.6471215663	8.41766972321032	0.000426658561945183	0.0163987809184408	11.7742526723551	0.000155215783520462	5.13710433810677E-06	1.01064725344802E-08	0.0265414068292842	0.773236758917723	1.04743693441798	9.40080285897569	2.956225217202	9.99816512368437	0.145911374870219	0.460128402344354	267.5803352519	7.95850093471734	55.3939821610167	44.9452353754637	0.655347512112646	2.20141658068885	0.505255515464253	2.12767695438206	0.119819892253804	107.64961801064	93.8004592791216	1926.72932353036
